epoch,train loss,val loss,swa
0.0,0.335320856696681,0.34088657422212776,n
19.0,0.11689420958919362,0.16227168704707193,y
39.0,0.053861060756802415,0.15702598525564052,y
59.0,0.0314839384984795,0.14888049964075045,y
79.0,0.02395250479915297,0.14297898245015334,y
99.0,0.013841792382983859,0.14975704239591103,y
119.0,0.010402463947398863,0.13959889258319585,y
139.0,0.007310453615398711,0.13272431880104385,y
159.0,0.008946423372994729,0.13530359302323294,y
179.0,0.007197590921908581,0.1336669718378966,y
199.0,0.0060576921358540415,0.13574119752461689,y
